"Name","Team","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH","IFH%","BUH","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Robbie Grossman","MIN",".287","1.18","24.8%","40.7%","34.4%","8.7%","8.7%","8","6.5%","1","20.0%","38.8%","37.1%","24.1%","16.0%","53.1%","30.9%","5254"
"Allen Cordoba","SDP",".259","1.64","14.5%","53.1%","32.4%","8.5%","8.5%","4","5.2%","3","60.0%","36.7%","39.3%","24.0%","24.7%","52.0%","23.3%","15722"
"Ben Gamel","SEA",".340","1.35","21.8%","44.9%","33.3%","9.2%","8.5%","7","4.0%","0","0.0%","34.3%","35.0%","30.7%","18.7%","51.9%","29.4%","12160"
"Denard Span","SFG",".295","1.34","21.3%","45.0%","33.6%","6.3%","8.5%","4","2.1%","4","50.0%","41.6%","35.1%","23.3%","18.6%","56.3%","25.1%","8347"
"Andrelton Simmons","LAA",".291","1.57","19.0%","49.5%","31.5%","11.4%","8.4%","20","7.7%","3","100.0%","45.3%","34.2%","20.6%","20.6%","50.2%","29.2%","10847"
"Manny Pina","MIL",".339","0.82","23.2%","34.6%","42.1%","7.5%","8.4%","4","4.5%","0","0.0%","44.7%","31.8%","23.5%","14.1%","51.8%","34.1%","2829"
"Buster Posey","SFG",".347","1.32","23.3%","43.6%","33.0%","2.8%","8.4%","6","3.2%","0","0.0%","36.5%","40.0%","23.6%","14.1%","52.9%","33.0%","9166"
"Tucker Barnhart","CIN",".312","1.65","26.2%","46.0%","27.8%","4.8%","8.3%","6","4.3%","0","0.0%","40.3%","38.7%","21.0%","16.5%","50.3%","33.2%","10200"
"Matt Wieters","WSN",".264","1.17","21.1%","42.5%","36.4%","9.9%","8.3%","8","5.7%","0","0.0%","42.2%","34.3%","23.5%","18.1%","54.5%","27.4%","4298"
"Chase Utley","LAD",".264","1.13","18.5%","43.3%","38.2%","6.2%","8.2%","6","5.5%","0","0.0%","45.1%","29.0%","25.9%","16.5%","47.1%","36.5%","1679"
